round,scenario,gpu_accelerated,task_completion_s,iot_energy_J,edge_energy_J,cloud_energy_J,total_energy_J,uplink_MB,cloudlets_finished,cloudlets_expected
1,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
2,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
3,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
4,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
5,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
6,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
7,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
8,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
9,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
10,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
11,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
12,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
13,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
14,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
15,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
16,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
17,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
18,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
19,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
20,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
21,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
22,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
23,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
24,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
25,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
26,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
27,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
28,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
29,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
30,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
31,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
32,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
33,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
34,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
35,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
36,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
37,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
38,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
39,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
40,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
41,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
42,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
43,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
44,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
45,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
46,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
47,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
48,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
49,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
50,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
51,CentralizedFL,false,50.1100,2800.0000,0.0000,6.2500,2806.2500,1100.0000,21,21
